controller_support,dlc,website,pc,mac,linux,demos,reviews,movies,recommendations,achievements,developer,publisher,positive,negative,initialprice,language_count,metacritic_score,single_player,multi_player,online_multi_player,local_multi_player,valve_anti_cheat,steam_achievements,steam_trading_cards,steam_cloud,full_controller_support,partial_controller_support,steam_leaderboards,indie,action,casual,adventure,strategy,simulation,early access,rpg,free_to_play,racing,sports,violent,gore,sexual_content,nudity,education,self_published,label
0,0,0,1,1,0,1,0,0,1,1,"PopCap Games, Inc.","PopCap Games, Inc.",133,13,4.99,5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
0,0,0,1,1,0,1,0,0,1,1,"PopCap Games, Inc.","PopCap Games, Inc.",191,14,4.99,5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
0,0,0,1,0,0,1,0,0,1,1,"PopCap Games, Inc.","PopCap Games, Inc.",1184,58,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,0,1,1,0,1,0,0,1,1,"PopCap Games, Inc.","PopCap Games, Inc.",437,37,4.99,5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",38,5,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",54,9,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",28,3,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",49,4,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,1,0,0,1,1,"PopCap Games, Inc.","PopCap Games, Inc.",363,16,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",28,2,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",71,28,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",10,1,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,1,0,0,1,0,0,0,1,"PopCap Games, Inc.","PopCap Games, Inc.",54,3,4.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
